year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1968,53,Porsche 907 LH #006 - Porsche Typ 771/1 F8 2v DOHC 2195 cc N/A,NA,P,Porsche Works Team (D),Closed bodywork,Mid-engined,Gerhard Mitter (D)/Rolf Stommelen (D)DNS: Hans Herrmann (D),PORSCHE,white,NA,30/03/2014,The Henry Ford/Friedman and Mike Smith,Porsche,907,LH,#006,Result: did not finish (Accident)Grid: 3rd (1:57.3100),did not finish (Accident)Grid: 3rd (1:57.3100),not_finished,3,1:57.3100,NA,Accident,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-053.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-053.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html,https://www.racingsportscars.com/chassis/photo/907-006.html
1968,81,Ferrari 250 LM #5893 - Ferrari V12/60° 2v SOHC 3285 cc N/A,NA,S,N.A.R.T.-Harrah Racing (USA),Closed bodywork,Mid-engined,David Piper (GB)/Masten Gregory (USA),NA,red,NA,25/04/2006,Fred Lewis,Ferrari,250 LM,NA,#5893,Result: did not finish (Accident)Grid: 8th (2:02.0000),did not finish (Accident)Grid: 8th (2:02.0000),not_finished,8,2:02.0000,NA,Accident,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-081.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-081.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20LM.html,NA,https://www.racingsportscars.com/chassis/photo/5893%20%5b250LM%5d.html
1968,55,Porsche 907 LH #004 - Porsche Typ 901 F6 1991 cc N/A,NA,P,Squadra Tartaruga (CH),Closed bodywork,Mid-engined,Rico Steinemann (CH)/Dieter Spoerry (CH),NA,light (+darker),NA,30/03/2014,The Henry Ford/Friedman,Porsche,907,LH,#004,Result: did not finish (Accident)Grid: 12th (2:02.6000),did not finish (Accident)Grid: 12th (2:02.6000),not_finished,12,2:02.6000,NA,Accident,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-055.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-055.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html,https://www.racingsportscars.com/chassis/photo/907-004.html
1968,47,Triumph TR4 A - Triumph L4 2v OHV 2138 cc N/A,NA,GT,John Cameron (USA),-,Front-engined,Milo Vega (USA)/John Witt (USA)DNS: John Cameron (USA),NA,NA,NA,NA,NA,Triumph,TR4,A,NA,Result: did not finishGrid: 56th (2:33.1000),did not finishGrid: 56th (2:33.1000),not_finished,56,2:33.1000,NA,2:33.1000,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Triumph.html,https://www.racingsportscars.com/type/photo/Triumph/TR4.html,https://www.racingsportscars.com/suffix/photo/Triumph/TR4/A.html,NA
1968,65,Ford Mustang # - Ford V8/90° 2v OHV 4727 cc N/A,NA,TA+2.0,Starr Racing (USA),Closed bodywork,Front-engined,George Wintersteen (USA)/Malcolm Starr (USA),NA,NA,NA,NA,NA,Ford,Mustang,NA,#,Result: did not finish (Engine)Grid: 28th (2:13.1100),did not finish (Engine)Grid: 28th (2:13.1100),not_finished,28,2:13.1100,NA,Engine,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,https://www.racingsportscars.com/chassis/photo/Mustang-Star%23.html
1968,17,TVR Grantura Mk IV # - BMC B series L4 1798 cc N/A,NA,GT,Arthur Mollin Racing Ent. (USA),Closed bodywork,Front-engined,Arthur Mollin (USA)/Nick Cone (USA),NA,NA,NA,NA,NA,TVR,Grantura,Mk IV,#,Result: did not finishGrid: 65th (no time),did not finishGrid: 65th (no time),not_finished,65,no time,NA,no time,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/TVR.html,https://www.racingsportscars.com/type/photo/TVR/Grantura.html,https://www.racingsportscars.com/suffix/photo/TVR/Grantura/Mk%20IV.html,https://www.racingsportscars.com/chassis/photo/Grantura-Mollin%23.html
1968,72,Porsche 911 T - Porsche F6 2v SOHC 1991 cc N/A,NA,TA2.0,Davidson Enterprises (USA),Closed bodywork,Rear-engined,Paul Richards (USA)/Tony Adamowicz (USA)/Marvin Davidson (USA),NA,orange,Goodyear,11/01/2014,Frank Perkins and The Henry Ford/Friedman,Porsche,911,T,NA,Result: did not finish (Accident)Grid: 43rd (2:23.4000),did not finish (Accident)Grid: 43rd (2:23.4000),not_finished,43,2:23.4000,NA,Accident,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-072.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-072.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/T.html,NA
1968,8,Ford GT40 #1075 - Ford V8/90° 2v OHV 4736 cc N/A,NA,S,J. W. Automotive Eng. (GB),Closed bodywork,Mid-engined,Jacky Ickx (B)/Brian Redman (GB),Gulf,light blue (+orange),NA,11/01/2014,Mike Smith and The Henry Ford/Friedman,Ford,GT40,NA,#1075,Result: did not finish (Gearbox)Grid: 1st (1:54.9100),did not finish (Gearbox)Grid: 1st (1:54.9100),not_finished,1,1:54.9100,NA,Gearbox,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-008.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-008.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/GT40.html,NA,https://www.racingsportscars.com/chassis/photo/GT40%20P__1075.html
1968,46,Porsche 356 B 2000 GS Carrera 2 - Porsche F4 2v DOHC 2000 cc N/A,NA,GT,WROD Radio (USA),-,Rear-engined,Steven Payne-Herbert (USA)/Grant Miller (USA)/Roger Walton (USA),NA,NA,NA,NA,NA,Porsche,356,B 2000 GS Carrera 2,NA,Result: did not finish (Bearings)Grid: 52nd (2:28.3500),did not finish (Bearings)Grid: 52nd (2:28.3500),not_finished,52,2:28.3500,NA,Bearings,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/356.html,https://www.racingsportscars.com/suffix/photo/Porsche/356/B%202000%20GS%20Carrera%202.html,NA
1968,80,Ferrari Dino 206 S #008 - Ferrari V6 1995 cc N/A,NA,P,N.A.R.T.-Harrah Racing (USA),Closed bodywork,Mid-engined,Pedro Rodriguez (MEX)/Charlie Kolb (USA),NA,darker,NA,30/03/2014,The Henry Ford/Friedman,Ferrari,Dino 206 S,NA,#008,Result: did not finish (Cylinder head)Grid: 10th (2:02.2900),did not finish (Cylinder head)Grid: 10th (2:02.2900),not_finished,10,2:02.2900,NA,Cylinder head,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-080.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-080.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/Dino%20206%20S.html,NA,https://www.racingsportscars.com/chassis/photo/206S-008.html
