url,table_id,field,value
https://www.stuttcars.com/porsche-911-sc-g-series-1978-1983/,1,1983,D-series
https://www.stuttcars.com/porsche-935-tribute/,1,modification,Engine
https://www.stuttcars.com/porsche-935-tribute/,1,2018 935 tribute,3.8T
https://www.stuttcars.com/porsche-935-tribute/,1,2017 911 991 gt2 rs clubsport,3.8T
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,car,911 991.2 GT3 R
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,engine,"4000 cc, bore 102.0 mm, stroke 81.5 mm"
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,power,404 kW without restrictor
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,gearbox,Sequential 6-speed
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,front brakes,"390 mm steel disc, 6-piston caliper"
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,rear brakes,"370 mm steel disc, 4-piston caliper"
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,front tyres/wheels,"30/68-18, 12.5×18"
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,rear tyres/wheels,"31/71-18, 13.0×18"
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,tank l,120
https://www.stuttcars.com/porsche-911-gt3-r-991-2-2019-2020/,1,dimensions,4629 x 2002
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,curb weight,"1,470 kg (3,241 lbs)"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,layout,"Rear-engine, rear-wheel drive"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,body / frame,"Aluminum-steel composite monocoque, carbon fiber elements"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,suspension (f),MacPherson strut suspension with helper springs
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,suspension (r),Multi-link axle with helper springs and subframe
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,engine,Flat-6
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,position,"Boxer, 90°"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,aspiration,"Twin-turbocharged, intercooled"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,block material,Aluminum block and heads
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,valvetrain,"DOHC, 24-Valve (4 Valves per Cylinder) with VVT & VarioCam Plus"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,fuel feed,Direct Fuel Injection
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,displacement (litres),3.8L
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,displacement (in³),"232 in³, 3800 cc"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,1,transmission,7-speed DCT with automatic and manual shifting mode (PDK)
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,power (hp),"700 hp @ 7,000 rpm"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,power (hp) / litre,184.2 hp / litre
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,power (hp) / weight,0.48 hp / kg
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,torque,"553 lb-ft @ 2,250-4000 rpm"
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,efficiency,59 hp per l/100 km
https://www.stuttcars.com/porsche-911-gt2-rs-991-2018-2019/,2,average fuel consumption,11.8 l/100 km (combined)
