year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2018,149,Porsche Cayman - Porsche,73,V5,Porsche Club Ticino,-,-,Andre Krumbach (D)/Marco Timbal (CH)/Henrik Bollerslev (DK)/Leonard Weiss (D),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,Cayman,NA,NA,Result: 73rd (26 laps behind the winner)Grid: 117th (10:19.2880) - 123rd fastest qualifier,73rd (26 laps behind the winner)Grid: 117th (10:19.2880) - 123rd fastest qualifier,finished,117,10:19.2880,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-149.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-149.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,NA,NA
2018,153,BMW 325i E90 - BMW,74,V4,Pixum Team Adrenalin Motorsport,-,-,Philipp Stahlschmidt (D)/John Lee Schambony (D)/Uwe Legermann (D)/Guido Heinrich (D),NA,NA,NA,22/02/2019,Thomas Morper,BMW,325i,NA,E90,Result: 74th (27 laps behind the winner)Grid: 128th (10:36.0081) - 134th fastest qualifier,74th (27 laps behind the winner)Grid: 128th (10:36.0081) - 134th fastest qualifier,finished,128,10:36.0081,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-153.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-153.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/325i.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/325i/E90.html
2018,133,Porsche Cayman S - Porsche,75,V6,Pixum Team Adrenalin Motorsport,-,-,Gustav Engljähringer (A)/Stefan Fuhrmann/Michael Hollerweger (A)/Luca Veronelli,NA,NA,NA,22/02/2019,Thomas Morper,Porsche,Cayman,NA,S,Result: 75th (27 laps behind the winner)Grid: 106th (10:05.9600) - 111th fastest qualifier,75th (27 laps behind the winner)Grid: 106th (10:05.9600) - 111th fastest qualifier,finished,106,10:05.9600,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-133.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-133.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,NA,https://www.racingsportscars.com/suffix/photo/Porsche/Cayman/S.html
2018,73,BMW M4 F82 GT4 - BMW S55 L6 2979 cc Twin-Turbo,76,SP10,Leutheuser Racing&Events,Closed bodywork,Front-engined,Klaus-Dieter Frommer (D)/Fabrice Reicher (F)/Michael Hess (D)/Bernd Kleeschulte (D),NA,NA,NA,22/02/2019,Thomas Morper,BMW,M4,NA,F82 GT4,Result: 76th (27 laps behind the winner)Grid: 78th (9:27.8540) - 81st fastest qualifier,76th (27 laps behind the winner)Grid: 78th (9:27.8540) - 81st fastest qualifier,finished,78,9:27.8540,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-073.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-073.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M4.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/M4/F82%20GT4.html
2018,63,Lamborghini Huracán Super Trofeo - Lamborghini V10/90° 4v DOHC N/A,77,SP-Y,Dörr Motorsport,Closed bodywork,Mid-engined,Marc Basseng (D)/Manuel Lauck (D)/Nico Verdonck (B),NA,NA,NA,22/02/2019,Thomas Morper,Lamborghini,Huracán,NA,Super Trofeo,Result: 77th 1st in SP-Y (28 laps behind the winner)Grid: 35th (8:52.1150) - 36th fastest qualifier,77th 1st in SP-Y (28 laps behind the winner)Grid: 35th (8:52.1150) - 36th fastest qualifier,finished,35,8:52.1150,28 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-063.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-063.jpg,https://www.racingsportscars.com/make/photo/Lamborghini.html,https://www.racingsportscars.com/type/photo/Lamborghini/Hurac%c3%a1n.html,NA,https://www.racingsportscars.com/suffix/photo/Lamborghini/Hurac%c3%a1n/Super%20Trofeo.html
2018,161,BMW 325i - BMW,78,V4,Securtal Sorg Rennsport,-,-,Nicolas Griebner/Emir Asari (TR)/Christian Franz (D)/Jan von Kiedrowski,NA,NA,NA,22/02/2019,Thomas Morper,BMW,325i,NA,NA,Result: 78th (29 laps behind the winner)Grid: 125th (10:32.3781) - 131st fastest qualifier,78th (29 laps behind the winner)Grid: 125th (10:32.3781) - 131st fastest qualifier,finished,125,10:32.3781,29 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-161.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-161.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/325i.html,NA,NA
2018,239,BMW M235i Racing Cup - BMW 3000 cc Twin-Turbo,79,Kl. Cup,Leutheuser Racing&Events,Closed bodywork,Front-engined,Patrick Steuer (D)/Richard Purtscher (A)/Ralf Goral (D)/Uwe Mallwitz,NA,NA,NA,22/02/2019,Thomas Morper,BMW,M235i,NA,Racing Cup,Result: 79th (29 laps behind the winner)Grid: 116th (10:16.9010) - 121st fastest qualifier,79th (29 laps behind the winner)Grid: 116th (10:16.9010) - 121st fastest qualifier,finished,116,10:16.9010,29 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-239.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-239.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M235i.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/M235i/Racing%20Cup.html
2018,243,BMW M235i Racing Cup - BMW 3000 cc Twin-Turbo,80,Kl. Cup,Pixum Team Adrenalin Motorsport,Closed bodywork,Front-engined,Thomas Henriksson/Marco van Ramshorst (NL)/Charles Oakes (L),NA,NA,NA,22/02/2019,Thomas Morper,BMW,M235i,NA,Racing Cup,Result: 80th (29 laps behind the winner)Grid: 121st (10:27.5760) - 127th fastest qualifier,80th (29 laps behind the winner)Grid: 121st (10:27.5760) - 127th fastest qualifier,finished,121,10:27.5760,29 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-243.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-243.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M235i.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/M235i/Racing%20Cup.html
2018,115,Toyota GT86 - Toyota,81,SP3,TMG United (Toyota Motorsport GmbH),-,-,Alex Fielenbach (D)/Adrian Brusius (D)/Lars Peucker (D)/Oskar Sandberg (D),NA,NA,NA,22/02/2019,Thomas Morper,Toyota,GT86,NA,NA,Result: 81st (30 laps behind the winner)Grid: 102nd (10:03.6710) - 107th fastest qualifier,81st (30 laps behind the winner)Grid: 102nd (10:03.6710) - 107th fastest qualifier,finished,102,10:03.6710,30 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-115.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-115.jpg,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/GT86.html,NA,NA
2018,59,Porsche 991 GT3 Cup I - Porsche F6 4v DOHC 3800 cc N/A,82,SP7,GIGASPEED Team GetSpeed Performance,Closed bodywork,Rear-engined,Ulrich Berg (D)/Jean-Louis Hertenstein (CH)/Milan Kodídek (CZ),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,991 GT3 Cup,NA,I,Result: 82nd (30 laps behind the winner)Grid: 44th (9:03.2730) - 47th fastest qualifier,82nd (30 laps behind the winner)Grid: 44th (9:03.2730) - 47th fastest qualifier,finished,44,9:03.2730,30 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-059.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-059.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20Cup.html,NA,https://www.racingsportscars.com/suffix/photo/Porsche/991%20GT3%20Cup/I.html
2018,78,BMW M3 GTR - BMW,83,SP6,Hofor-Racing,Closed bodywork,Front-engined,Martin Kroll (CH)/Chantal Kroll (CH)/Michael Kroll (CH)/Alexander Prinz (CH),NA,NA,NA,22/02/2019,Thomas Morper,BMW,M3,NA,GTR,Result: 83rd (30 laps behind the winner)Grid: 92nd (9:47.3280) - 96th fastest qualifier,83rd (30 laps behind the winner)Grid: 92nd (9:47.3280) - 96th fastest qualifier,finished,92,9:47.3280,30 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-078.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-078.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/M3/GTR.html
