year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
2019,141,Porsche Cayman - Porsche N/A,NA,V5,Pixum Team Adrenalin Motorsport,Closed bodywork,Mid-engined,Ulrich Korn (D)/Charles Oakes (L)/Einar Thorsen (N)/Matthias Beckwermert (D),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,Cayman,NA,NA,Result: did not finishGrid: 126th (10:06.5230) - 127th fastest qualifier,did not finishGrid: 126th (10:06.5230) - 127th fastest qualifier,not_finished,126,10:06.5230,NA,10:06.5230,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-141.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-141.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,NA,NA
2019,76,Aston Martin Vantage AMR GT4 #17A-012-1 - Aston Martin Mercedes-AMG M177/AMR V8/90° 4v DOHC 3982 cc Twin-Turbo,NA,SP10,Prosport-Performance GmbH,Closed bodywork,Front-engined,Christoph Breuer (D)/Kay van Berlo (NL)/Alexander Mies (D)/Mike David Ortmann (D),NA,NA,NA,14/07/2019,Thomas Morper,Aston Martin,Vantage AMR,GT4,#17A-012-1,Result: did not finishGrid: 63rd (9:09.9580),did not finishGrid: 63rd (9:09.9580),not_finished,63,9:09.9580,NA,9:09.9580,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-076.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-076.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/Vantage%20AMR.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/Vantage%20AMR/GT4.html,https://www.racingsportscars.com/chassis/photo/AMR%2017A-012-1.html
2019,92,VW Golf VI GTI - VW,NA,SP3T,Giti Tire Motorsport by WS Racing,Closed bodywork,Front-engined,Fritz Rabensteiner (A)/Uwe Stein (D)/Christian Meurer (D)/Manuel Braun (D),NA,NA,NA,27/10/2019,Thomas Morper,VW,Golf,VI GTI,NA,Result: did not finishGrid: 123rd (10:05.2630) - 124th fastest qualifier,did not finishGrid: 123rd (10:05.2630) - 124th fastest qualifier,not_finished,123,10:05.2630,NA,10:05.2630,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-092.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-092.jpg,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/VI%20GTI.html,NA
2019,68,Aston Martin Vantage AMR GT4 #17A-014-1 - Aston Martin Mercedes-AMG M177/AMR V8/90° 4v DOHC 3982 cc Twin-Turbo,NA,SP10,Prosport-Performance GmbH,Closed bodywork,Front-engined,Jörg Viebahn (D)/Nicolaj Møller Madsen (DK)/Joonas Lappalainen (FIN),NA,NA,NA,14/07/2019,Thomas Morper,Aston Martin,Vantage AMR,GT4,#17A-014-1,Result: did not finishGrid: 59th (9:07.2100),did not finishGrid: 59th (9:07.2100),not_finished,59,9:07.2100,NA,9:07.2100,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-068.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-068.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/Vantage%20AMR.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/Vantage%20AMR/GT4.html,https://www.racingsportscars.com/chassis/photo/AMR%2017A-014-1.html
2019,116,Renault Clio - Renault,NA,SP3,MSC Adenau e.V. im ADAC,Closed bodywork,Front-engined,Stephan Epp (D)/Gerrit Holthaus (D)/Michael Bohrer (D)/Christopher Bruchmann (D),NA,NA,NA,14/07/2019,Thomas Morper,Renault,Clio,NA,NA,Result: did not finishGrid: 114th (9:58.7240) - 115th fastest qualifier,did not finishGrid: 114th (9:58.7240) - 115th fastest qualifier,not_finished,114,9:58.7240,NA,9:58.7240,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-116.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-116.jpg,https://www.racingsportscars.com/make/photo/Renault.html,https://www.racingsportscars.com/type/photo/Renault/Clio.html,NA,NA
2019,39,Nissan GT-R Nismo GT3 # - Nissan VR38DETT V6/60° 4v DOHC 3799 cc Twin-Turbo,NA,SP9,KCMG (HK),Closed bodywork,Front-engined,Nico Menzel (D)/Christer Jöns (D)/Edoardo Liberati (I)/Matthieu Vaxiviere (F),NA,NA,NA,14/07/2019,Thomas Morper,Nissan,GT-R,Nismo GT3,#,Result: did not finishGrid: 22nd (8:17.6190),did not finishGrid: 22nd (8:17.6190),not_finished,22,8:17.6190,NA,8:17.6190,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-039.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-039.jpg,https://www.racingsportscars.com/make/photo/Nissan.html,https://www.racingsportscars.com/type/photo/Nissan/GT-R.html,https://www.racingsportscars.com/suffix/photo/Nissan/GT-R/Nismo%20GT3.html,https://www.racingsportscars.com/chassis/photo/R35GT3-KCMG-04%23.html
2019,718,Porsche 718 Cayman # - Porsche N/A,NA,V3T,,-,Mid-engined,Ralf Zensen (D)/Fabian Peitzmeier (D)/Michael Küke (D)/Edgar Salewsky (D),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,718 Cayman,NA,#,Result: did not finishGrid: 134th (10:19.5500) - 136th fastest qualifier,did not finishGrid: 134th (10:19.5500) - 136th fastest qualifier,not_finished,134,10:19.5500,NA,10:19.5500,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-718.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-718.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718%20Cayman.html,NA,https://www.racingsportscars.com/chassis/photo/718-GTS-Zensen%23.html
2019,302,Porsche Cayman GT4 Clubsport - Porsche N/A,NA,Cup 3,Aimpoint Racing by Rothfuss Best Gabion,Closed bodywork,Mid-engined,Axel Friedhoff (D)/Max Friedhoff (D)/Jan Kasperlik (D)/Andres Serrano (EC),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,Cayman,GT4 Clubsport,NA,Result: did not finishGrid: 88th (9:33.3650) - 89th fastest qualifier,did not finishGrid: 88th (9:33.3650) - 89th fastest qualifier,not_finished,88,9:33.3650,NA,9:33.3650,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-302.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-302.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/Cayman.html,https://www.racingsportscars.com/suffix/photo/Porsche/Cayman/GT4%20Clubsport.html,NA
2019,777,Ford Mustang GT # - Ford,NA,SP8,,-,-,Stephan Wölflick (D)/Jürgen Gagstatter (D)/Urs Bressan (D)/Jens Ludmann (D),NA,NA,NA,14/07/2019,Thomas Morper,Ford,Mustang,GT,#,Result: did not finishGrid: 92nd (9:35.0320) - 93rd fastest qualifier,did not finishGrid: 92nd (9:35.0320) - 93rd fastest qualifier,not_finished,92,9:35.0320,NA,9:35.0320,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-777.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-777.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,https://www.racingsportscars.com/suffix/photo/Ford/Mustang/GT.html,https://www.racingsportscars.com/chassis/photo/Mustang-%20GT-Wolflick%23.html
2019,100,BMW M6 F13 GT3 - BMW P63 V8/90° 4395 cc Twin-Turbo,NA,SP9,Walkenhorst Motorsport (D),Closed bodywork,Front-engined,Henry Walkenhorst (D)/Andreas Ziegler (D)/Jörn Schmidt-Staade (D)/Jordan Tresson (F),NA,NA,NA,14/07/2019,Thomas Morper,BMW,M6,F13 GT3,NA,Result: did not finishGrid: 26th (8:22.6910),did not finishGrid: 26th (8:22.6910),not_finished,26,8:22.6910,NA,8:22.6910,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-100.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-100.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M6.html,https://www.racingsportscars.com/suffix/photo/BMW/M6/F13%20GT3.html,NA
