year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
1990,178,Toyota Corolla (AE86) - Toyota N/A,104,Class 9,,Closed bodywork,Front-engined,Robert Wilhelm Land/Karsten Molitor (D)/Veit/Michael Heyer,NA,NA,NA,NA,NA,Toyota,Corolla,(AE86),Result: 104th (41 laps behind the winner)Grid:,104th (41 laps behind the winner)Grid:,finished,NA,NA,41 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/Corolla.html,https://www.racingsportscars.com/suffix/photo/Toyota/Corolla/(AE86).html
1990,98,Ford Sierra Cosworth - Ford,105,Class 6,MOHAG Motorsport,-,-,Traudl Klink/Tony Palma (I)/Gianni Giudici (I),NA,NA,NA,NA,NA,Ford,Sierra,Cosworth,Result: 105th (41 laps behind the winner)Grid:,105th (41 laps behind the winner)Grid:,finished,NA,NA,41 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Sierra.html,https://www.racingsportscars.com/suffix/photo/Ford/Sierra/Cosworth.html
1990,110,Audi Coupé quattro - Audi,106,Class 7,,-,-,Claude Dorkel/Gerard Prive/Bernard Strauss,NA,NA,NA,NA,NA,Audi,Coupé,quattro,Result: 106th (42 laps behind the winner)Grid:,106th (42 laps behind the winner)Grid:,finished,NA,NA,42 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/Coup%c3%a9.html,https://www.racingsportscars.com/suffix/photo/Audi/Coup%c3%a9/quattro.html
1990,45,Opel Kadett GSi 16V - Opel,107,Class 3,,Closed bodywork,Front-engined,Joe Wagner (L)/Romain Simon/Yves Wagner (L),NA,NA,NA,NA,NA,Opel,Kadett,GSi 16V,Result: 107th (42 laps behind the winner)Grid:,107th (42 laps behind the winner)Grid:,finished,NA,NA,42 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Kadett.html,https://www.racingsportscars.com/suffix/photo/Opel/Kadett/GSi%2016V.html
1990,169,VW Golf GTI - VW,108,Class 8,Scuderia Colonia e. V.,-,-,Joachim Scheefeldt (D)/Andreas Jänichen/Michael Triesch,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 108th (42 laps behind the winner)Grid:,108th (42 laps behind the winner)Grid:,finished,NA,NA,42 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
1990,137,Alfa Romeo 75 TwinSpark - Alfa Romeo,109,Class 8,Alfa Romeo,-,-,Claus-Theo Gärtner/Wilfried Becker/Hans-Günther Müller/Franz Klammer (A),NA,NA,NA,NA,NA,Alfa Romeo,75,TwinSpark,Result: 109th (44 laps behind the winner)Grid:,109th (44 laps behind the winner)Grid:,finished,NA,NA,44 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/75.html,https://www.racingsportscars.com/suffix/photo/Alfa%20Romeo/75/TwinSpark.html
1990,51,Opel Manta - Opel,110,Class 3,SFG Köln e.V.,Closed bodywork,Front-engined,Dirk Wallraf/Dieter Lingen (D)/Bernd Paul/Luis Enderle,NA,NA,NA,NA,NA,Opel,Manta,NA,Result: 110th (46 laps behind the winner)Grid:,110th (46 laps behind the winner)Grid:,finished,NA,NA,46 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Manta.html,NA
1990,84,Opel Corsa - Opel,111,Class 5,,-,-,Gard Eichenauer/Salvatore Messina (I)/Dieter Vier,NA,NA,NA,NA,NA,Opel,Corsa,NA,Result: 111th (47 laps behind the winner)Grid:,111th (47 laps behind the winner)Grid:,finished,NA,NA,47 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Corsa.html,NA
1990,54,Opel Manta - Opel,112,Class 3,Divinol Motor Oils,Closed bodywork,Front-engined,Klaus Müller (D)/Gerd Hoffmann (D)/Helmut Kalenborn (D)/Leif Buttenhoff,NA,NA,NA,NA,NA,Opel,Manta,NA,Result: 112th (49 laps behind the winner)Grid:,112th (49 laps behind the winner)Grid:,finished,NA,NA,49 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Manta.html,NA
1990,176,Seat Ibiza SXI - Seat,113,Class 9,MSC Ruhrblitz e. V. im ADAC,-,-,Michael Marsani/Gerd Flentje/Michael Conrad,NA,NA,NA,NA,NA,Seat,Ibiza,SXI,Result: 113th (49 laps behind the winner)Grid:,113th (49 laps behind the winner)Grid:,finished,NA,NA,49 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Seat.html,https://www.racingsportscars.com/type/photo/Seat/Ibiza.html,https://www.racingsportscars.com/suffix/photo/Seat/Ibiza/SXI.html
1990,49,Opel Manta - Opel,114,Class 3,,Closed bodywork,Front-engined,Stefan Kasterka/Andreas Bayer/André Kleinschmidt/Ulli Hartwig,NA,NA,NA,NA,NA,Opel,Manta,NA,Result: 114th (51 laps behind the winner)Grid:,114th (51 laps behind the winner)Grid:,finished,NA,NA,51 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Manta.html,NA
1990,81,VW Polo - VW,115,Class 5,,-,-,Jens Matterhn/Volker Willershausen/Alexander Weber-Moewius,NA,NA,NA,NA,NA,VW,Polo,NA,Result: 115th (58 laps behind the winner)Grid:,115th (58 laps behind the winner)Grid:,finished,NA,NA,58 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Polo.html,NA
